School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"174,924","29,154",1
Akron,6,"117,416","19,569",2
Alabama,7,"712,053","101,722",3
Appalachian St.,6,"154,722","25,787",4
Arizona,6,"255,791","42,632",5
Arizona St.,7,"359,660","51,380",6
Arkansas,7,"442,569","63,224",7
Arkansas St.,5,"119,538","23,908",8
Army West Point,6,"185,543","30,924",9
Auburn,7,"605,120","86,446",10
Ball St.,6,"59,395","9,899",11
Baylor,6,"262,978","43,830",12
Boise St. ,7,"217,881","31,126",13
Boston College,6,"215,546","35,924",14
Bowling Green,5,"79,405","15,881",15
Buffalo,6,"80,102","13,350",16
BYU,6,"337,599","56,267",17
California,6,"219,290","36,548",18
Central Mich.,5,"67,520","13,504",19
Charlotte,6,"71,420","11,903",20
Cincinnati,6,"170,603","28,434",21
Clemson,7,"565,412","80,773",22
Coastal Caro. ,,,,23
Colorado,6,"282,335","47,056",24
Colorado St. ,6,"192,369","32,062",25
Duke,7,"187,581","26,797",26
East Carolina,7,"257,090","36,727",27
Eastern Mich.,5,"73,649","14,730",28
FIU,7,"100,002","14,286",29
Fla. Atlantic,8,"151,580","18,948",30
Florida,6,"520,290","86,715",31
Florida St.,6,"425,658","70,943",32
Fresno St. ,6,"183,789","30,632",33
Ga. Southern,4,"61,031","15,258",34
Georgia,6,"556,476","92,746",35
Georgia St.,5,"79,163","15,833",36
Georgia Tech,6,"281,310","46,885",37
Hawaii,6,"145,463","24,244",38
Houston,6,"195,499","32,583",39
Idaho,6,"63,197","10,533",40
Illinois,7,"276,003","39,429",41
Indiana,6,"263,715","43,953",42
Iowa,7,"464,357","66,337",43
Iowa St.,6,"347,586","57,931",44
Kansas,7,"186,490","26,641",45
Kansas St. ,7,"359,107","51,301",46
Kent St.,5,"65,924","13,185",47
Kentucky,7,"395,276","56,468",48
La.-Monroe,5,"49,640","9,928",49
Liberty,,,,50
Louisiana,5,"78,754","15,751",51
Louisiana Tech,7,"142,626","20,375",52
Louisville,6,"276,957","46,160",53
LSU,6,"591,034","98,506",54
Marshall,6,"130,447","21,741",55
Maryland,6,"237,859","39,643",56
Massachusetts,6,"64,242","10,707",57
Memphis,8,"290,416","36,302",58
Miami (FL),8,"469,454","58,682",59
Miami (OH),6,"98,666","16,444",60
Michigan,6,"669,534","111,589",61
Michigan St.,7,"507,398","72,485",62
Middle Tenn.,6,"93,718","15,620",63
Minnesota,7,"310,506","44,358",64
Mississippi St.,7,"406,703","58,100",65
Missouri,7,"360,429","51,490",66
Navy,6,"209,701","34,950",67
NC State,6,"341,100","56,850",68
Nebraska,7,"628,583","89,798",69
Nevada,6,"100,329","16,722",70
New Mexico,6,"127,161","21,194",71
New Mexico St.,5,"91,195","18,239",72
North Carolina,7,"350,500","50,071",73
North Carolina St.,,,,74
North Texas,6,"134,174","22,362",75
Northern Ill.,6,"67,748","11,291",76
Northwestern,7,"250,969","35,853",77
Notre Dame,7,"543,354","77,622",78
Ohio,6,"116,325","19,388",79
Ohio St. ,7,"752,464","107,495",80
Oklahoma,6,"519,119","86,520",81
Oklahoma St.,6,"340,740","56,790",82
Old Dominion,6,"120,708","20,118",83
Ole Miss,7,"410,414","58,631",84
Oregon,7,"388,381","55,483",85
Oregon St. ,6,"208,524","34,754",86
Penn St. ,7,"746,946","106,707",87
Pittsburgh,7,"254,062","36,295",88
Purdue,6,"287,303","47,884",89
Rice,5,"96,770","19,354",90
Rutgers,7,"278,245","39,749",91
San Diego St.,7,"275,428","39,347",92
San Jose St. ,6,"85,235","14,206",93
SMU,7,"139,609","19,944",94
South Alabama,6,"104,070","17,345",95
South Carolina,7,"550,099","78,586",96
South Fla.,6,"188,408","31,401",97
Southern California,7,"508,781","72,683",98
Southern Miss.,6,"130,265","21,711",99
Stanford,6,"284,388","47,398",100
Syracuse,7,"237,504","33,929",101
TCU,6,"264,481","44,080",102
Temple,6,"163,905","27,318",103
Tennessee,7,"670,454","95,779",104
Texas,6,"556,667","92,778",105
Texas A&M,7,"691,612","98,802",106
Texas St.,6,"104,680","17,447",107
Texas Tech,6,"330,390","55,065",108
Toledo,6,"124,470","20,745",109
Troy,6,"146,737","24,456",110
Tulane,6,"101,634","16,939",111
Tulsa,6,"110,751","18,459",112
UAB,6,"158,252","26,375",113
UCF,7,"257,924","36,846",114
UCLA,6,"336,262","56,044",115
UConn,6,"122,007","20,335",116
UNLV,6,"104,692","17,449",117
Utah,7,"321,390","45,913",118
Utah St.,6,"120,650","20,108",119
UTEP,5,"97,740","19,548",120
UTSA,5,"114,104","22,821",121
Vanderbilt,7,"219,390","31,341",122
Virginia,7,"275,788","39,398",123
Virginia Tech,6,"379,284","63,214",124
Wake Forest,6,"170,614","28,436",125
Washington,7,"481,755","68,822",126
Washington St.,7,"223,875","31,982",127
West Virginia,6,"335,678","55,946",128
Western Ky.,6,"94,234","15,706",129
Western Mich.,6,"95,314","15,886",130
Wisconsin,7,"551,766","78,824",131
Wyoming,7,"144,299","20,614",132
